invoice_id,client_id,client_name,invoice_ref,business_unit,region,account_type,payment_method,revenue,cost,profit,tax,margin,days_to_pay,notes,invoice_date
INV000036,CL2003,Anderson-Stark,REF-oU15KF82,Wealth Management,QLD,Retail,Cheque,70218.85,51518.05,18700.8,5610.24,26.63,87,Quaerat aut nostrum temporibus.,2023-11-04
INV000037,CL2212,Taylor Ltd,REF-PH32RZ42,Corporate Banking,WA,Government,Cheque,466670.56,192483.01,274187.55,82256.26,58.75,57,Totam sed aspernatur dolores dolorem provident.,2024-04-01
INV000038,CL4811,Warren-Jones,REF-Fm45gY95,Operations,NT,SME,Direct Debit,458879.2,198166.02,260713.18,78213.95,56.82,71,,2023-06-13
INV000039,CL5070,"Johnson, Johnson and Brown",REF-rQ30qa42,Corporate Banking,SA,SME,BPAY,104829.67,71307.86,33521.81,10056.54,31.98,24,,2024-05-01
INV000040,CL4845,"Moreno, Gonzalez and Diaz",REF-St25Hq62,Corporate Banking,WA,Non-profit,Cheque,254728.12,179515.47,75212.65,22563.79,29.53,76,,2023-03-21
INV000041,CL9121,Chavez Inc,REF-fy53bw29,Corporate Banking,VIC,Enterprise,Direct Debit,40878.73,19935.5,20943.23,6282.97,51.23,79,,2023-12-09
INV000042,CL5394,Wu-Sanchez,REF-ln21ov00,Operations,SA,Enterprise,BPAY,161019.58,116549.67,44469.91,13340.97,27.62,44,,2023-07-09
INV000043,CL7377,"Scott, Pugh and Newman",REF-SU61xF61,Corporate Banking,SA,Retail,EFT,102138.81,53887.31,48251.5,14475.45,47.24,27,Nam fugiat nam officia eveniet.,2023-12-19
INV000044,CL3312,Stokes-Nelson,REF-ru31Ng03,Treasury,VIC,Non-profit,Direct Debit,32598.79,23973.82,8624.97,2587.49,26.46,52,,2023-08-26
INV000045,CL2213,Walter-Howell,REF-Hb33MV77,Retail Banking,NSW,SME,Credit Card,162397.98,86289.06,76108.92,22832.68,46.87,75,Aspernatur fugit qui eligendi.,2023-06-07
INV000046,CL1012,"Alexander, Bauer and Webster",REF-gs83zX98,Insurance,VIC,Non-profit,Direct Debit,312261.66,208025.13,104236.53,31270.96,33.38,16,,2024-10-22
INV000047,CL7157,Jones LLC,REF-fS77bd59,Treasury,SA,Government,EFT,486466.28,257543.97,228922.31,68676.69,47.06,61,,2024-07-25
INV000048,CL5375,"Miller, Anderson and Ortiz",REF-bh69Zu90,Wealth Management,VIC,Government,EFT,140269.19,68060.89,72208.3,21662.49,51.48,11,,2023-08-13
INV000049,CL1276,Harris Ltd,REF-li10XS64,Treasury,SA,Enterprise,Cheque,125336.55,69535.81,55800.74,16740.22,44.52,63,Voluptatum provident autem sapiente.,2024-06-18
INV000050,CL6257,Hughes-Davis,REF-Uk48Wr44,Treasury,WA,Retail,BPAY,13761.83,7885.05,5876.78,1763.03,42.7,63,,2024-03-12
INV000051,CL2116,"Martinez, Goodman and Clayton",REF-sM47En62,Treasury,SA,Non-profit,Cheque,434031.23,312783.56,121247.67,36374.3,27.94,57,,2023-08-02
INV000052,CL2369,"Parker, West and Porter",REF-mv27Gi42,Operations,QLD,Non-profit,Credit Card,299701.66,192943.02,106758.64,32027.59,35.62,13,,2024-07-30
INV000053,CL2988,"Hall, Kelly and Black",REF-Ka38vU62,Wealth Management,WA,SME,Direct Debit,333189.78,201650.03,131539.75,39461.92,39.48,9,Neque aspernatur in incidunt autem.,2023-01-21
INV000054,CL3209,Lee Inc,REF-jU34qT31,Operations,SA,SME,Cheque,217709.01,158600.94,59108.07,17732.42,27.15,43,Cupiditate nam odit at.,2023-07-07
INV000055,CL2577,Morris and Sons,REF-cC46Pq58,Retail Banking,SA,Retail,EFT,421742.06,279663.46,142078.6,42623.58,33.69,56,Molestiae expedita expedita aliquam eveniet totam.,2024-10-08
INV000056,CL1575,"Sloan, Rosales and Shepherd",REF-kM89wJ67,Operations,VIC,Government,Cheque,493412.74,224703.78,268708.96,80612.69,54.46,42,,2023-05-07
INV000057,CL6023,Chandler PLC,REF-Lw40ji09,Insurance,SA,Retail,EFT,444769.86,270956.86,173813.0,52143.9,39.08,34,,2024-05-28
INV000058,CL3109,Williams-Ferguson,REF-Jv84SX52,Treasury,WA,Retail,EFT,232426.3,105092.92,127333.38,38200.01,54.78,49,,2024-06-06
INV000059,CL1005,"Garcia, Dunn and Johnson",REF-cl56Of32,Wealth Management,TAS,Retail,Direct Debit,39933.18,23741.27,16191.91,4857.57,40.55,25,Hic sint molestias fuga odit ullam.,2024-08-09
INV000060,CL4196,Garcia-Harris,REF-Rg52ax14,Retail Banking,WA,Government,Credit Card,48769.45,27323.8,21445.65,6433.7,43.97,17,Et dolores commodi optio enim.,2023-01-05
INV000061,CL4112,Russell-Anderson,REF-GI24qj08,Retail Banking,VIC,Government,Direct Debit,367040.79,237778.52,129262.27,38778.68,35.22,29,,2024-07-22
INV000062,CL8258,Jenkins PLC,REF-Vy24fw46,Operations,SA,Non-profit,BPAY,112917.82,61154.17,51763.65,15529.09,45.84,71,,2023-02-13
INV000063,CL4793,Kemp and Sons,REF-pX71Gc74,Corporate Banking,TAS,Non-profit,Credit Card,113022.17,50379.77,62642.4,18792.72,55.42,48,,2024-12-13
INV000064,CL1336,Chavez Inc,REF-XV58Ic25,Retail Banking,ACT,SME,Credit Card,280904.6,183984.37,96920.23,29076.07,34.5,75,,2023-11-11
INV000065,CL6946,Smith and Sons,REF-WD07FO38,Corporate Banking,ACT,Enterprise,BPAY,38809.02,19864.3,18944.72,5683.42,48.82,78,Dolor aliquid dolore.,2023-10-27
INV000066,CL3581,"Reynolds, Beasley and Waller",REF-bX87Uc49,Retail Banking,QLD,Enterprise,Cheque,335638.26,174567.85,161070.41,48321.12,47.99,32,,2024-10-12
INV000067,CL7182,Brown-Johnson,REF-WF39Wi65,Wealth Management,VIC,SME,EFT,434423.86,256604.87,177818.99,53345.7,40.93,54,Nemo possimus corrupti ullam.,2024-08-29
INV000068,CL7396,Johnston-Watson,REF-Gq36Ef42,Wealth Management,WA,Retail,Direct Debit,134558.13,58467.04,76091.09,22827.33,56.55,7,,2024-01-12
INV000069,CL3112,Mann-Le,REF-aJ49lX47,Corporate Banking,QLD,Government,Direct Debit,488458.68,365313.57,123145.11,36943.53,25.21,42,,2024-02-22
INV000070,CL3102,Park and Sons,REF-ot20qu28,Wealth Management,SA,Non-profit,Cheque,269846.61,121389.31,148457.3,44537.19,55.02,59,Facere cum eaque quos ab.,2024-06-20
INV000071,CL8833,"Ford, Ramirez and Franco",REF-jS52Nd59,Operations,VIC,Non-profit,EFT,482474.19,197951.65,284522.54,85356.76,58.97,69,Id pariatur corrupti vero distinctio blanditiis.,2023-08-22
INV000072,CL6817,"Sanders, Rivera and Henderson",REF-fo55OW31,Treasury,QLD,Government,BPAY,256196.83,105872.2,150324.63,45097.39,58.68,65,,2023-03-13
INV000073,CL4318,Norton Group,REF-vf23ld63,Operations,NT,Non-profit,Direct Debit,36991.89,25519.73,11472.16,3441.65,31.01,8,Assumenda iusto dolor.,2024-04-06
INV000074,CL4022,Kim-Wagner,REF-PB28ur69,Corporate Banking,NT,Government,BPAY,27110.48,12933.31,14177.17,4253.15,52.29,88,Numquam corporis necessitatibus porro.,2024-03-17
INV000075,CL1533,Friedman Group,REF-FM72Mt78,Operations,WA,Retail,Cheque,416795.03,285770.47,131024.56,39307.37,31.44,45,,2023-02-27
INV000076,CL6711,"Griffin, Marshall and Garcia",REF-wF07ay31,Operations,QLD,Enterprise,EFT,469415.35,269628.04,199787.31,59936.19,42.56,24,,2023-10-19
INV000077,CL5324,Oneal-Edwards,REF-JB03IW21,Corporate Banking,SA,Non-profit,Direct Debit,189583.07,131662.38,57920.69,17376.21,30.55,60,,2024-11-23
INV000078,CL8854,Rodriguez PLC,REF-bw32Td34,Retail Banking,QLD,Enterprise,EFT,209166.78,156114.91,53051.87,15915.56,25.36,84,Quisquam aliquam dolor.,2023-11-07
INV000079,CL9660,"Gamble, Lewis and Molina",REF-wx27wv47,Corporate Banking,SA,Government,EFT,452612.38,319985.61,132626.77,39788.03,29.3,9,,2023-06-13
INV000080,CL1099,Carter Ltd,REF-cn71Zz29,Corporate Banking,NT,Non-profit,EFT,203543.35,144409.56,59133.79,17740.14,29.05,54,,2023-06-19
INV000081,CL6369,Ingram-Monroe,REF-Pt52YP75,Treasury,QLD,Retail,Direct Debit,243263.33,124424.55,118838.78,35651.63,48.85,87,,2023-07-01
INV000082,CL9194,Wong-Smith,REF-fv04gb89,Retail Banking,TAS,Government,Cheque,279596.52,169327.14,110269.38,33080.81,39.44,66,,2023-08-06
INV000083,CL4667,Joseph-Mclean,REF-xL02vR55,Operations,WA,Non-profit,Credit Card,167606.16,79686.21,87919.95,26375.98,52.46,15,,2023-04-02
INV000084,CL2322,Moyer-Hardin,REF-oQ46tI29,Corporate Banking,NSW,Enterprise,Direct Debit,357554.3,263075.62,94478.68,28343.6,26.42,36,,2023-12-16
INV000085,CL6558,Miller Group,REF-wy11uo31,Treasury,NSW,SME,BPAY,192979.79,126436.4,66543.39,19963.02,34.48,40,,2024-03-24
INV000086,CL5538,Brown and Sons,REF-kP84av86,Operations,QLD,Retail,Credit Card,217185.27,153174.65,64010.62,19203.19,29.47,62,,2023-11-23
INV000087,CL8603,Lee-Adams,REF-Qd22jc90,Corporate Banking,NT,Retail,Cheque,190318.69,132232.09,58086.6,17425.98,30.52,68,,2024-03-30
INV000088,CL8928,Benitez-Harrison,REF-Lq02pu45,Retail Banking,NT,SME,Direct Debit,153473.26,85383.39,68089.87,20426.96,44.37,66,,2023-04-11
INV000089,CL4200,Brown LLC,REF-ZJ61la91,Corporate Banking,VIC,Retail,Cheque,10741.29,5935.52,4805.77,1441.73,44.74,47,,2023-03-03
INV000090,CL3069,"Vargas, Lee and Burns",REF-nB52GD93,Treasury,WA,SME,Credit Card,465499.28,347660.95,117838.33,35351.5,25.31,7,,2023-04-26
INV000091,CL4288,Butler-Shields,REF-Hc37Tn34,Retail Banking,WA,SME,BPAY,130653.34,68079.86,62573.48,18772.04,47.89,14,,2023-02-14
INV000092,CL5331,Bonilla-Glover,REF-lc31mr80,Insurance,ACT,Government,EFT,110614.63,73412.02,37202.61,11160.78,33.63,30,,2024-04-17
INV000093,CL2715,Smith-Miller,REF-ee03fb11,Corporate Banking,NSW,SME,Cheque,172136.85,86463.49,85673.36,25702.01,49.77,89,,2024-04-07
INV000094,CL4050,"Dalton, Adams and Sawyer",REF-yM55dB27,Operations,NT,Government,EFT,144770.03,99200.97,45569.06,13670.72,31.48,54,,2023-12-15
INV000095,CL5177,Harrison PLC,REF-lS75tQ15,Treasury,VIC,Government,Direct Debit,242648.69,139036.7,103611.99,31083.6,42.7,67,,2023-01-30
INV000096,CL1057,George-Little,REF-uV30Pp88,Corporate Banking,ACT,Government,EFT,18980.66,10413.87,8566.79,2570.04,45.13,54,,2024-12-07
INV000097,CL3741,"Mcdonald, Nelson and Spencer",REF-EZ31hY02,Treasury,WA,Government,BPAY,338684.8,249218.63,89466.17,26839.85,26.42,40,Dicta cupiditate incidunt aspernatur.,2024-02-04
INV000098,CL4312,Miller-Allen,REF-CR88MD09,Retail Banking,ACT,Non-profit,EFT,335785.15,142783.09,193002.06,57900.62,57.48,17,,2024-11-28
INV000099,CL5115,"Nelson, Ray and King",REF-Iw72WE87,Treasury,TAS,SME,Direct Debit,429814.44,180005.84,249808.6,74942.58,58.12,23,,2024-07-20
INV000100,CL3776,Mcguire PLC,REF-kM12pH11,Operations,NSW,Enterprise,Credit Card,160618.63,85443.55,75175.08,22552.52,46.8,70,Minima in optio.,2023-07-03
INV000101,CL5712,Campbell and Sons,REF-Mm59WG01,Operations,ACT,Retail,EFT,493597.03,278516.29,215080.74,64524.22,43.57,14,Facere veniam occaecati laboriosam.,2023-05-21
INV000102,CL2851,"Christian, Frye and Cooper",REF-oN33GL44,Treasury,VIC,Retail,Credit Card,463261.76,195421.61,267840.15,80352.04,57.82,39,Quasi laboriosam nemo.,2024-03-17
INV000103,CL6895,Ramirez-Scott,REF-Wb23HD94,Corporate Banking,WA,SME,Cheque,297886.51,139261.34,158625.17,47587.55,53.25,69,,2024-01-29
INV000104,CL4714,Smith-Diaz,REF-rJ62fi98,Wealth Management,NSW,SME,EFT,229554.63,125271.64,104282.99,31284.9,45.43,32,,2024-04-02
INV000105,CL1624,Juarez-Singleton,REF-mj92bY85,Corporate Banking,NSW,SME,EFT,393527.94,185677.82,207850.12,62355.04,52.82,77,,2024-12-21
INV000106,CL5076,"Garcia, Garcia and Hobbs",REF-HV48Fa69,Retail Banking,VIC,Enterprise,Direct Debit,221496.96,94078.3,127418.66,38225.6,57.53,28,Assumenda neque nesciunt fuga exercitationem aut.,2023-01-17
INV000107,CL3852,"Johnson, Lynn and Tyler",REF-Zo34KE93,Insurance,TAS,Retail,Direct Debit,363013.05,262163.37,100849.68,30254.9,27.78,54,,2024-01-19
INV000108,CL6807,Parker Group,REF-nL74ff02,Corporate Banking,SA,Government,BPAY,237236.35,137455.25,99781.1,29934.33,42.06,48,Delectus ipsa numquam distinctio incidunt.,2023-03-20
INV000109,CL6180,Pacheco-Miller,REF-oG15ee72,Operations,WA,Retail,Cheque,112127.9,52720.56,59407.34,17822.2,52.98,72,Doloribus eos dicta nam quasi.,2024-07-18
INV000110,CL1552,"Reynolds, Chapman and Nguyen",REF-jA27DE23,Corporate Banking,NT,Enterprise,Credit Card,430683.06,235029.44,195653.62,58696.09,45.43,34,Sunt possimus expedita nulla.,2023-05-07
INV000111,CL5338,Lewis PLC,REF-Id80Rn76,Retail Banking,WA,SME,BPAY,89770.03,49296.73,40473.3,12141.99,45.09,16,,2024-08-25
INV000112,CL8434,Alexander Ltd,REF-oe67pI03,Treasury,SA,Retail,EFT,270187.06,172091.72,98095.34,29428.6,36.31,63,,2024-11-25
INV000113,CL6640,"Price, Taylor and Walker",REF-XK65OE19,Insurance,WA,Retail,BPAY,69305.05,46412.34,22892.71,6867.81,33.03,66,,2024-07-04
INV000114,CL3807,Webster Group,REF-uI86um20,Treasury,WA,Retail,Credit Card,440019.22,186533.24,253485.98,76045.79,57.61,89,,2023-03-13
INV000115,CL7310,Diaz-Wright,REF-Yz47YR59,Corporate Banking,ACT,Retail,Direct Debit,212499.61,134050.5,78449.11,23534.73,36.92,9,Ut adipisci reprehenderit voluptas.,2023-10-16
INV000116,CL3173,"Williams, Solomon and Paul",REF-ZV84cE70,Corporate Banking,NT,Government,BPAY,102903.43,59498.01,43405.42,13021.63,42.18,39,,2024-01-05
INV000117,CL5557,Moore LLC,REF-Qr65KE03,Wealth Management,WA,Retail,BPAY,478563.57,248939.21,229624.36,68887.31,47.98,38,,2023-08-03
INV000118,CL8795,"Carpenter, Cross and Johnson",REF-jn91kT78,Wealth Management,SA,Non-profit,Credit Card,367133.92,208846.77,158287.15,47486.14,43.11,80,Ex labore beatae voluptatum nobis qui.,2023-05-09
INV000119,CL5594,"Booker, Brown and Rice",REF-Ui63Oj34,Retail Banking,ACT,Enterprise,Cheque,313108.07,207594.04,105514.03,31654.21,33.7,73,,2024-04-15
INV000120,CL7375,Scott LLC,REF-Kt73gH67,Treasury,QLD,Retail,EFT,312801.16,154917.63,157883.53,47365.06,50.47,18,Temporibus ut repellat perferendis dolorem repellat.,2023-05-23
INV000121,CL2714,Smith-Bauer,REF-vH26BY80,Treasury,TAS,Government,BPAY,414676.45,281111.16,133565.29,40069.59,32.21,20,,2024-05-08
INV000122,CL1048,Ball-Richard,REF-Tk31Nj59,Treasury,VIC,Non-profit,BPAY,202478.62,122392.87,80085.75,24025.72,39.55,73,,2024-05-13
INV000123,CL1405,Pacheco PLC,REF-Ss56qj05,Operations,VIC,SME,Credit Card,300298.36,145791.53,154506.83,46352.05,51.45,48,,2023-04-16
INV000124,CL8816,"Miller, Douglas and Mitchell",REF-Hg81tG96,Retail Banking,SA,SME,Cheque,448794.51,212306.23,236488.28,70946.48,52.69,36,,2024-08-02
INV000125,CL4381,Berger Group,REF-Rg32uG25,Treasury,VIC,Enterprise,Cheque,233812.86,114421.17,119391.69,35817.51,51.06,14,Sunt inventore distinctio rerum.,2023-06-30
INV000126,CL8003,"Hines, Holt and Cooper",REF-Oh89Ma47,Wealth Management,VIC,Enterprise,Direct Debit,221290.97,136811.35,84479.62,25343.89,38.18,33,,2024-08-05
INV000127,CL2131,Obrien Inc,REF-Hn35LO87,Insurance,WA,Retail,EFT,393510.52,177270.71,216239.81,64871.94,54.95,71,,2023-03-21
INV000128,CL8073,"Colon, Warner and Thompson",REF-YC79ha54,Treasury,ACT,SME,Cheque,432430.17,293078.63,139351.54,41805.46,32.23,49,Aliquid hic sunt error quam temporibus.,2024-08-23
INV000129,CL7123,"Williams, Nguyen and Schaefer",REF-oT59Bl32,Operations,TAS,Government,Direct Debit,119185.37,64695.72,54489.65,16346.9,45.72,68,,2023-09-16
INV000130,CL8245,Williams Inc,REF-Cq05Tx06,Operations,TAS,Retail,Direct Debit,27803.74,15897.28,11906.46,3571.94,42.82,75,,2023-01-22
INV000131,CL8862,Herrera Group,REF-gv39da43,Retail Banking,WA,SME,Direct Debit,468335.41,259728.91,208606.5,62581.95,44.54,87,Asperiores perspiciatis aliquid.,2024-02-25
INV000132,CL6130,"Sanders, Walker and Cunningham",REF-CL19Ai35,Insurance,ACT,Enterprise,BPAY,325807.52,149868.42,175939.1,52781.73,54.0,90,,2023-08-18
INV000133,CL7616,Powell-West,REF-FY67MM45,Operations,QLD,Enterprise,EFT,318415.06,130923.38,187491.68,56247.5,58.88,32,,2024-02-27
INV000134,CL5845,"Robinson, Tucker and Bowman",REF-UJ25AQ39,Insurance,ACT,Retail,Cheque,101498.17,53544.64,47953.53,14386.06,47.25,38,,2024-04-28
INV000135,CL9401,Gonzales-Phillips,REF-ls45gt34,Retail Banking,ACT,Retail,EFT,339590.54,154530.33,185060.21,55518.06,54.5,10,,2023-03-17
INV000136,CL3567,Phillips Group,REF-zl93zg71,Wealth Management,TAS,Government,Direct Debit,427176.91,281240.74,145936.17,43780.85,34.16,67,Nisi doloremque ad laudantium molestiae.,2023-07-10
INV000137,CL7494,"Robinson, Rodriguez and Stewart",REF-pR83qS94,Retail Banking,WA,Retail,Direct Debit,138274.16,78509.96,59764.2,17929.26,43.22,81,,2024-08-27
INV000138,CL2921,Perkins-Long,REF-nJ11mQ72,Insurance,VIC,Non-profit,BPAY,81029.26,37051.19,43978.07,13193.42,54.27,67,,2023-12-05
INV000139,CL3528,"Smith, Spencer and Callahan",REF-sl83WW52,Insurance,WA,SME,EFT,499416.51,369271.29,130145.22,39043.57,26.06,14,,2024-06-25
INV000140,CL5574,Richardson LLC,REF-xO11sz38,Wealth Management,NT,SME,Cheque,362229.16,226039.31,136189.85,40856.96,37.6,9,,2023-09-21
INV000141,CL1863,"Lopez, Roberts and Nelson",REF-Pg81vN96,Operations,ACT,SME,Credit Card,430595.72,219036.3,211559.42,63467.83,49.13,73,,2024-05-26
INV000142,CL1138,Porter PLC,REF-BD15we22,Wealth Management,TAS,Non-profit,EFT,5017.37,3217.2,1800.17,540.05,35.88,62,,2024-06-09
INV000143,CL3688,Lopez-Kennedy,REF-mL57Eq96,Treasury,QLD,Enterprise,Direct Debit,385016.43,163067.53,221948.9,66584.67,57.65,80,,2024-12-28
INV000144,CL3428,Trevino PLC,REF-ZC27Iy42,Operations,VIC,SME,Direct Debit,203467.56,104673.23,98794.33,29638.3,48.56,44,Accusamus ullam aliquam.,2023-09-21
INV000145,CL2730,Riley Inc,REF-uQ66yh49,Wealth Management,VIC,Non-profit,Credit Card,268320.83,165043.71,103277.12,30983.14,38.49,62,Odio ipsam commodi iste saepe pariatur.,2024-06-18
INV000146,CL9345,Smith-Green,REF-cz10Ke62,Wealth Management,TAS,Enterprise,Credit Card,72301.92,53343.0,18958.92,5687.68,26.22,20,,2023-11-30
INV000147,CL9884,Robinson-Lam,REF-hH58qT49,Treasury,SA,Non-profit,Direct Debit,497108.09,331647.48,165460.61,49638.18,33.28,30,,2023-12-19
INV000148,CL9381,Brown Ltd,REF-CE25LR90,Insurance,WA,Retail,Cheque,84967.99,35170.41,49797.58,14939.27,58.61,36,,2023-12-19
INV000149,CL8357,"White, Davis and Brown",REF-zm42Vw17,Retail Banking,NSW,Retail,Direct Debit,92053.36,52882.3,39171.06,11751.32,42.55,50,,2023-11-13
INV000150,CL3112,Johnson-Turner,REF-YM96JS00,Treasury,NSW,Enterprise,EFT,130521.92,63177.42,67344.5,20203.35,51.6,45,,2023-04-03
INV000151,CL4726,Bridges PLC,REF-cj59xt90,Operations,TAS,SME,Credit Card,287850.91,173306.51,114544.4,34363.32,39.79,31,Cupiditate fugiat aut porro.,2023-07-05
INV000152,CL8061,Mccarthy-Valentine,REF-VU83Ga47,Insurance,SA,Government,Credit Card,27867.77,18993.69,8874.08,2662.22,31.84,48,,2023-01-31
INV000153,CL4830,Hansen Group,REF-JR45lI06,Retail Banking,ACT,Enterprise,Direct Debit,390160.42,189917.6,200242.82,60072.85,51.32,81,,2023-10-08
INV000154,CL7524,Foster-Lopez,REF-AH24KR68,Corporate Banking,WA,Retail,BPAY,42241.37,26926.67,15314.7,4594.41,36.26,13,,2024-11-09
INV000155,CL8234,Sanchez Group,REF-VR01pM43,Treasury,TAS,SME,EFT,411705.04,267662.77,144042.27,43212.68,34.99,38,,2023-12-24
INV000156,CL9039,Jacobs-Mendoza,REF-ZH86Yt08,Treasury,WA,Non-profit,BPAY,226858.42,121150.08,105708.34,31712.5,46.6,40,Praesentium aliquam omnis alias.,2023-12-24
